title,genres,vote_average,adult,runtime
Lawnmower Man 2: Beyond Cyberspace,"Action, Science Fiction",2.8,False,92.0
Two Bits,"Drama, Family",5.4,False,85.0
French Twist,"Comedy, Romance",6.0,False,95.0
Friday,Comedy,7.0,False,91.0
From Dusk Till Dawn,"Horror, Action, Thriller, Crime",6.9,False,108.0
Fair Game,"Action, Thriller, Romance",4.1,False,91.0
Kicking and Screaming,"Comedy, Drama, Romance",7.0,False,96.0
Les Miserables,"Drama, History",6.6,False,175.0
Bed of Roses,"Drama, Romance",5.1,False,87.0
Big Bully,"Comedy, Family",3.9,False,90.0
Screamers,"Horror, Science Fiction",6.1,False,108.0
Nico Icon,Documentary,7.3,False,70.0
The Crossing Guard,"Drama, Thriller",6.1,False,111.0
The Juror,"Drama, Thriller",5.5,False,118.0
The White Balloon,"Family, Drama",7.5,False,85.0
Things to Do in Denver When You're Dead,"Drama, Crime",6.7,False,116.0
Antonia's Line,"Drama, Comedy",7.2,False,102.0
Once Upon a Time... When We Were Colored,"Romance, Drama",4.5,False,115.0
Last Summer in the Hamptons,,0.0,False,108.0
Angels and Insects,"Drama, Romance",6.3,False,118.0
White Squall,"Action, Drama",6.3,False,129.0
Dunston Checks In,"Adventure, Comedy, Family",5.1,False,88.0
Black Sheep,Comedy,6.0,False,87.0
Nick of Time,"Crime, Drama, Thriller",6.1,False,90.0
The Journey of August King,Drama,6.7,False,91.0
Mary Reilly,"Drama, Horror, Thriller, Romance",5.7,False,104.0
Vampire in Brooklyn,"Comedy, Horror, Romance",4.5,False,100.0
Beautiful Girls,"Comedy, Drama, Romance",6.6,False,112.0
Broken Arrow,"Action, Adventure, Drama, Thriller",5.7,False,108.0
A Midwinter's Tale,Comedy,7.5,False,99.0
La Haine,Drama,7.9,False,98.0
Shopping,"Action, Adventure, Drama, Science Fiction, Thriller",5.6,False,105.0
Heidi Fleiss: Hollywood Madam,Documentary,6.8,False,106.0
City Hall,"Drama, Thriller",6.0,False,111.0
Bottle Rocket,"Comedy, Crime, Drama",6.8,False,91.0
Mr. Wrong,"Comedy, Romance",3.3,False,96.0
Unforgettable,"Drama, Mystery, Science Fiction, Thriller",5.3,False,106.0
Happy Gilmore,Comedy,6.5,False,92.0
The Bridges of Madison County,"Drama, Romance",7.3,False,135.0
Nobody Loves Me,"Drama, Comedy, Family",5.1,False,104.0
Muppet Treasure Island,"Action, Comedy, Music, Family, Adventure",6.5,False,100.0
Catwalk,Documentary,7.0,False,95.0
Headless Body in Topless Bar,Crime,0.0,False,110.0
Braveheart,"Action, Drama, History, War",7.7,False,177.0
Taxi Driver,"Crime, Drama",8.1,False,114.0
Rumble in the Bronx,"Crime, Action, Comedy, Thriller",6.5,False,91.0
Before and After,"Drama, Thriller",5.8,False,108.0
Margaret's Museum,Drama,7.5,False,114.0
Happiness Is in the Field,Comedy,7.0,False,106.0
Anne Frank Remembered,"Documentary, Drama, Foreign",7.3,False,117.0
The Young Poisoner's Handbook,"Comedy, Crime, Drama",6.9,False,99.0
If Lucy Fell,"Comedy, Romance",5.4,False,92.0
Steal Big Steal Little,"Comedy, Drama",5.1,False,113.0
Race the Sun,"Action, Adventure, Comedy, Drama, Family",5.2,False,100.0
The Boys of St. Vincent,Drama,7.0,False,90.0
Boomerang,"Comedy, Romance",5.4,False,117.0
Chungking Express,"Drama, Comedy, Romance",7.9,False,102.0
The Star Maker,"Drama, Romance",6.8,False,113.0
Flirting with Disaster,"Comedy, Romance",6.3,False,92.0
The Neverending Story III: Escape from Fantasia,Fantasy,4.4,False,95.0
The Silences of the Palace,Drama,4.3,False,116.0
Jupiter's Wife,,0.0,False,87.0
Pie in the Sky,"Comedy, Romance",7.0,False,95.0
Angela,"Comedy, Drama",5.6,False,99.0
Frankie Starlight,"Drama, Romance, War",5.4,False,101.0
Jade,"Action, Thriller, Mystery, Romance",5.1,False,95.0
Nueba Yol,"Comedy, Drama, Romance",5.5,False,102.0
Sonic Outlaws,"Music, Documentary",0.0,False,87.0
Down Periscope,Comedy,5.6,False,92.0
From the Journals of Jean Seberg,Documentary,6.5,False,97.0
Man of the Year,Comedy,3.8,False,86.0
The Neon Bible,Drama,7.2,False,91.0
Target,,0.0,False,122.0
Up Close & Personal,"Drama, Romance",5.9,False,119.0
The Birdcage,Comedy,6.7,False,117.0
Virgin Mary,Drama,7.0,False,125.0
The Brothers McMullen,"Comedy, Drama, Romance",6.3,False,98.0
Bad Boys,"Action, Comedy, Crime, Thriller",6.5,False,118.0
The Amazing Panda Adventure,"Action, Adventure, Drama, Family",5.0,False,81.0
The Basketball Diaries,"Drama, Crime",7.2,False,102.0
An Awfully Big Adventure,"Romance, Drama, Comedy",6.0,False,113.0
Amateur,"Crime, Comedy, Drama, Thriller",6.5,False,105.0
Apollo 13,Drama,7.3,False,140.0
Rob Roy,Adventure,6.5,False,139.0
The Addiction,"Drama, Horror",6.4,False,82.0
Batman Forever,"Action, Crime, Fantasy",5.2,False,121.0
Belle de Jour,"Drama, Romance",7.3,False,101.0
Beyond Rangoon,"Drama, Thriller",6.4,False,100.0
Blue in the Face,Comedy,6.8,False,83.0
Canadian Bacon,"Action, Comedy",5.9,False,91.0
Casper,"Fantasy, Comedy, Family",6.0,False,100.0
Clockers,"Mystery, Crime, Drama",6.8,False,128.0
Congo,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",5.0,False,109.0
Crimson Tide,"Action, Thriller, Drama",7.0,False,116.0
Crumb,Documentary,7.6,False,119.0
Desperado,"Thriller, Action, Crime",6.8,False,104.0
Devil in a Blue Dress,"Drama, Mystery, Thriller",6.3,False,102.0
Die Hard: With a Vengeance,"Action, Thriller",6.9,False,128.0
The Doom Generation,"Action, Comedy, Crime, Drama",5.6,False,80.0
Feast of July,"Drama, Crime",0.0,False,116.0
First Knight,"Action, Adventure, Drama, Romance",5.9,False,134.0
Free Willy 2 - The Adventure Home,Adventure,5.5,False,95.0
Hackers,"Action, Crime, Thriller, Drama",6.2,False,107.0
Jeffrey,"Comedy, Drama, Romance",6.5,False,92.0
Johnny Mnemonic,"Adventure, Action, Drama, Science Fiction, Thriller",5.5,False,97.0
Judge Dredd,Science Fiction,5.4,False,96.0
Jury Duty,"Comedy, Drama",4.0,False,88.0
Kids,"Drama, Crime",6.8,False,91.0
Living in Oblivion,"Drama, Comedy",7.2,False,89.0
Lord of Illusions,"Mystery, Horror, Thriller",5.9,False,119.0
Love & Human Remains,"Comedy, Drama",7.0,False,100.0
Mad Love,"Drama, Family, Romance",5.5,False,95.0
Mallrats,"Romance, Comedy",6.8,False,94.0
Mighty Morphin Power Rangers: The Movie,"Action, Adventure, Science Fiction, Family, Fantasy",5.2,False,92.0
Moonlight and Valentino,"Comedy, Drama, Romance",5.6,False,100.0
Mute Witness,"Thriller, Foreign",6.4,False,95.0
Nadja,"Horror, Thriller",5.9,False,93.0
The Net,"Crime, Drama, Mystery, Thriller, Action",5.6,False,114.0
Nine Months,Comedy,5.5,False,103.0
Party Girl,Comedy,5.8,False,94.0
The Prophecy,"Fantasy, Horror, Thriller",6.4,False,98.0
Reckless,"Fantasy, Comedy, Drama",10.0,False,91.0
Safe,Drama,7.2,False,119.0
The Scarlet Letter,"Drama, History, Romance",5.5,False,135.0
The Show,Documentary,5.3,False,93.0
Showgirls,Drama,4.9,False,128.0
Smoke,"Comedy, Drama",7.2,False,112.0
Something to Talk About,Comedy,5.7,False,106.0
Species,"Science Fiction, Horror, Action",5.5,False,108.0
The Stars Fell on Henrietta,Drama,6.6,False,109.0
Strange Days,"Crime, Drama, Science Fiction, Thriller",6.8,False,145.0
The Umbrellas of Cherbourg,"Drama, Romance",7.6,False,91.0
The Tie That Binds,Thriller,4.6,False,99.0
Three Wishes,"Drama, Fantasy",6.1,False,115.0
Total Eclipse,"Drama, Romance",6.5,False,111.0
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,6.3,False,105.0
Under Siege 2: Dark Territory,"Action, Thriller",5.6,False,100.0
Unstrung Heroes,"Comedy, Drama, Family",6.4,False,93.0
Unzipped,Documentary,6.0,False,73.0
A Walk in the Clouds,"Drama, Romance",6.5,False,103.0
Waterworld,"Adventure, Action",5.9,False,135.0
White Man's Burden,Drama,5.1,False,89.0
Wild Bill,"Action, Western",5.9,False,98.0
The Browning Version,Drama,6.0,False,97.0
Bushwhacked,"Adventure, Action, Comedy, Crime, Family",4.9,False,90.0
Burnt by the Sun,Drama,6.7,False,135.0
Before the Rain,"Drama, War",7.7,False,113.0
Before Sunrise,"Drama, Romance",7.7,False,105.0
Billy Madison,Comedy,6.2,False,89.0
The Babysitter,"Drama, Thriller",4.7,False,90.0
Boys on the Side,"Comedy, Drama",6.3,False,115.0
The Cure,"Drama, Family",7.2,False,97.0
Castle Freak,"Thriller, Drama, Horror, Mystery",5.8,False,95.0
Circle of Friends,"Drama, Family, Romance",6.5,False,103.0
Clerks,Comedy,7.4,False,92.0
Don Juan DeMarco,"Romance, Drama, Comedy",6.3,False,97.0
Disclosure,"Drama, Thriller, Crime, Mystery, Romance",5.9,False,123.0
Dream Man,Thriller,2.5,False,0.0
Drop Zone,"Action, Adventure, Thriller",5.1,False,101.0
Destiny Turns on the Radio,"Crime, Comedy, Fantasy",5.3,False,0.0
Death and the Maiden,"Drama, Thriller, Mystery",7.1,False,103.0
Dolores Claiborne,"Crime, Drama, Mystery",7.1,False,132.0
Dumb and Dumber,Comedy,6.5,False,107.0
Eat Drink Man Woman,"Comedy, Drama, Romance",7.5,False,123.0
Exotica,"Drama, Mystery",6.5,False,103.0
Exit to Eden,"Thriller, Comedy, Crime, Romance",4.3,False,113.0
Ed Wood,"Comedy, Drama, History",7.3,False,127.0
French Kiss,"Comedy, Romance",6.2,False,111.0
Forget Paris,"Comedy, Drama, Romance",6.1,False,101.0
Far from Home: The Adventures of Yellow Dog,"Action, Adventure, Drama, Family",5.6,False,87.0
A Goofy Movie,"Romance, Animation, Family, Comedy, Adventure",6.7,False,78.0
Hideaway,"Drama, Thriller",5.0,False,103.0
Fluke,"Drama, Family, Fantasy",6.6,False,96.0
Farinelli,"History, Drama",5.9,False,111.0
Gordy,"Drama, Family, Fantasy",3.0,False,90.0
Gumby: The Movie,"Fantasy, Animation, Science Fiction, Family",5.0,False,77.0
The Glass Shield,"Drama, Action, Thriller, Crime",5.4,False,109.0
Hoop Dreams,Documentary,7.7,False,171.0
Heavenly Creatures,"Drama, Fantasy",6.9,False,99.0
Houseguest,"Comedy, Family",6.0,False,113.0
Immortal Beloved,"Drama, Music, Romance",6.9,False,121.0
Heavyweights,"Comedy, Family, Drama",6.0,False,100.0
The Hunted,"Action, Thriller",6.0,False,106.0
I.Q.,"Comedy, Drama, Romance",5.9,False,100.0
Interview with the Vampire,"Horror, Romance",7.2,False,123.0
Jefferson in Paris,"Drama, Romance",5.2,False,139.0
The Jerky Boys,"Comedy, Crime",4.8,False,82.0
Junior,"Comedy, Family, Romance",4.7,False,109.0
Just Cause,"Action, Drama, Mystery, Thriller",6.0,False,102.0
A Kid in King Arthur's Court,"Adventure, Fantasy, Comedy, Science Fiction, Family",4.3,False,89.0
Kiss of Death,"Action, Crime, Drama, Thriller",5.7,False,101.0
Star Wars,"Adventure, Action, Science Fiction",8.1,False,121.0
Little Women,"Drama, Romance",7.0,False,115.0
A Little Princess,"Drama, Family, Fantasy",7.4,False,97.0
Ladybird Ladybird,Drama,7.4,False,101.0
L'Enfer,"Crime, Drama",6.6,False,100.0
Like Water for Chocolate,"Drama, Romance",6.6,False,105.0
Legends of the Fall,"Adventure, Drama, Romance, War",7.2,False,133.0
Major Payne,"Adventure, Comedy, Family",6.1,False,95.0
Little Odessa,"Action, Drama",6.4,False,98.0
Mi Vida Loca,"Crime, Drama",5.7,False,92.0
Love Affair,"Drama, Romance",4.3,False,108.0
Losing Isaiah,Drama,6.4,False,106.0
The Madness of King George,"Comedy, Drama, History",6.7,False,107.0
Mary Shelley's Frankenstein,"Drama, Horror, Science Fiction, Romance",6.1,False,123.0
Man of the House,"Action, Comedy, Family",5.1,False,96.0
Mixed Nuts,"Comedy, Drama, Romance",5.2,False,97.0
Milk Money,"Comedy, Romance",5.6,False,108.0
Miracle on 34th Street,"Fantasy, Drama, Family",6.4,False,114.0
Miami Rhapsody,"Comedy, Romance",5.6,False,95.0
My Family,"Comedy, Drama",7.0,False,128.0
Murder in the First,"Crime, Drama",6.9,False,122.0
Nobody's Fool,"Drama, Comedy",7.0,False,110.0
Nell,"Drama, Thriller",6.1,False,112.0
New Jersey Drive,"Crime, Drama",6.9,False,98.0
New York Cop,"Action, Thriller, Crime, Drama",0.0,False,93.0
Beyond Bedlam,Horror,4.0,False,89.0
Nemesis 2 - Nebula,"Science Fiction, Action, Thriller",4.6,False,83.0
Nina Takes a Lover,"Drama, Romance",7.4,False,100.0
Natural Born Killers,"Crime, Thriller, Drama",6.9,False,119.0
Only You,"Comedy, Drama, Romance",6.4,False,115.0
Once Were Warriors,Drama,7.6,False,99.0
Poison Ivy II: Lily,"Drama, Romance, Thriller",4.6,False,106.0
Outbreak,"Action, Drama, Science Fiction, Thriller",6.4,False,127.0
Leon: The Professional,"Thriller, Crime, Drama",8.2,False,110.0
The Perez Family,"Comedy, Drama, Romance",6.6,False,113.0
A Pyromaniac's Love Story,"Comedy, Drama, Romance",7.0,False,94.0
Pulp Fiction,"Thriller, Crime",8.3,False,154.0
Panther,Drama,6.4,False,124.0
Pushing Hands,"Comedy, Drama",6.1,False,105.0
Priest,"Drama, Romance",6.4,False,98.0
Quiz Show,"History, Drama",7.1,False,133.0
Picture Bride,"Drama, History",7.4,False,94.0
Queen Margot,"Drama, History",7.0,False,162.0
The Quick and the Dead,"Action, Western",6.2,False,107.0
Roommates,"Drama, Comedy",6.4,False,108.0
Prêt-à-Porter,"Drama, Comedy",5.3,False,133.0
Three Colors: Red,"Drama, Mystery, Romance",7.8,False,99.0
Three Colors: Blue,"Drama, Music, Mystery",7.7,False,98.0
Three Colors: White,"Comedy, Drama, Mystery",7.3,False,91.0
"Red Firecracker, Green Firecracker",Drama,7.0,False,111.0
Rent-a-Kid,"Comedy, Family, TV Movie",5.1,False,85.0
Relative Fear,"Horror, Drama",4.7,False,90.0
Stuart Saves His Family,"Comedy, Drama",5.0,False,95.0
The Swan Princess,Animation,6.5,False,89.0
The Secret of Roan Inish,"Drama, Family, Fantasy",6.1,False,97.0
The Specialist,"Action, Thriller",5.5,False,110.0
Stargate,"Action, Adventure, Science Fiction",6.8,False,121.0
The Santa Clause,"Fantasy, Drama, Comedy, Family",6.3,False,97.0
The Shawshank Redemption,"Drama, Crime",8.5,False,142.0
Shallow Grave,"Crime, Thriller",7.0,False,92.0
Suture,"Drama, Thriller",6.0,False,96.0
Strawberry and Chocolate,"Comedy, Drama",7.1,False,108.0
Swimming with Sharks,"Crime, Comedy",6.7,False,101.0
The Sum of Us,"Comedy, Drama, Romance",6.0,False,100.0
Senior Trip,Comedy,5.7,False,91.0
To Live,"Drama, Romance, War",7.7,False,125.0
Tank Girl,"Action, Comedy, Fantasy, Science Fiction",5.5,False,98.0
Tales from the Crypt: Demon Knight,"Horror, Comedy, Thriller",6.7,False,92.0
Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller",6.4,False,118.0
Tales from the Hood,"Crime, Horror, Thriller",5.4,False,98.0
Tom & Viv,"Drama, Romance",5.8,False,115.0
Village of the Damned,"Thriller, Horror, Science Fiction",5.6,False,99.0
Tommy Boy,Comedy,6.8,False,97.0
Vanya on 42nd Street,"Drama, Romance",6.1,False,119.0
The Underneath,"Thriller, Crime",5.6,False,99.0
The Walking Dead,"Drama, War",6.6,False,88.0
What's Eating Gilbert Grape,"Romance, Drama",7.5,False,118.0
Virtuosity,"Action, Crime, Science Fiction, Thriller",5.4,False,106.0
While You Were Sleeping,"Comedy, Drama, Romance",6.5,False,103.0
The War,Drama,6.3,False,126.0
Double Happiness,"Comedy, Romance",5.5,False,87.0
Muriel's Wedding,"Drama, Comedy, Romance",6.9,False,106.0
The Baby-Sitters Club,"Comedy, Drama, Family",5.3,False,94.0
Ace Ventura: Pet Detective,"Comedy, Mystery",6.4,False,86.0
"The Adventures of Priscilla, Queen of the Desert","Drama, Comedy",7.2,False,104.0
Backbeat,"Drama, Music",6.2,False,100.0
Bitter Moon,"Thriller, Drama, Romance",7.0,False,139.0
Bullets Over Broadway,"Action, Comedy, Thriller",7.0,False,98.0
Clear and Present Danger,"Action, Drama, Thriller",6.4,False,141.0
The Client,"Drama, Thriller, Crime, Mystery",6.4,False,119.0
"Corrina, Corrina","Comedy, Drama, Family, Romance",6.4,False,115.0
Crooklyn,"Comedy, Drama",6.7,False,115.0
The Crow,"Fantasy, Action, Thriller",7.3,False,102.0
Cobb,Drama,6.1,False,128.0
The Flintstones,"Fantasy, Comedy, Family",5.0,False,91.0
Forrest Gump,"Comedy, Drama, Romance",8.2,False,142.0
Four Weddings and a Funeral,"Comedy, Drama, Romance",6.6,False,117.0
Higher Learning,"Romance, Drama, Crime",6.4,False,127.0
I Like It Like That,"Comedy, Drama, Romance",6.3,False,104.0
I Love Trouble,"Action, Comedy, Romance",5.3,False,123.0
It Could Happen to You,"Comedy, Drama, Romance",6.1,False,101.0
The Jungle Book,"Adventure, Drama, Family",5.9,False,111.0
"The Wonderful, Horrible Life of Leni Riefenstahl","Documentary, Foreign",7.3,False,180.0
The Lion King,"Family, Animation, Drama",8.0,False,89.0
Little Buddha,"Drama, History",6.0,False,140.0
New Nightmare,"Horror, Thriller, Mystery, Fantasy",6.4,False,112.0
The Mask,"Romance, Comedy, Crime, Fantasy",6.6,False,101.0
Maverick,"Action, Adventure, Comedy, Drama, Western",6.6,False,127.0
Mrs. Parker and the Vicious Circle,Drama,6.3,False,125.0
The Naked Gun 33⅓: The Final Insult,"Comedy, Crime",6.4,False,83.0
The Paper,"Comedy, Drama",6.1,False,112.0
Reality Bites,Drama,6.5,False,99.0
Red Rock West,"Crime, Drama, Thriller",6.4,False,98.0
Ri¢hie Ri¢h,"Comedy, Family",5.4,False,95.0
Safe Passage,Drama,4.9,False,98.0
The River Wild,"Action, Adventure, Crime, Thriller",6.1,False,111.0
Speed,"Action, Adventure, Crime",6.8,False,116.0
Speechless,"Comedy, Romance",5.5,False,99.0
Timecop,"Thriller, Science Fiction, Action, Crime",5.5,False,99.0
True Lies,"Action, Thriller",6.8,False,141.0
When a Man Loves a Woman,"Drama, Romance",6.0,True,126.0
Wolf,Fantasy,6.0,False,125.0
Wyatt Earp,"Drama, Action, Western",6.5,False,191.0
Bad Company,"Action, Crime, Romance, Thriller",4.9,True,108.0
A Man of No Importance,"Comedy, Drama",6.5,False,99.0
S.F.W.,"Comedy, Drama",6.1,False,96.0
A Low Down Dirty Shame,"Action, Comedy, Crime",6.0,False,100.0
"Boys Life: Three Stories of Love, Lust, and Liberation",Drama,2.0,False,91.0
Colonel Chabert,Drama,5.9,False,110.0
"Faster, Pussycat! Kill! Kill!","Action, Crime",6.5,False,83.0
Jason's Lyric,"Crime, Drama, Romance",5.9,True,119.0
The Secret Adventures of Tom Thumb,"Animation, Science Fiction",7.1,False,61.0
Street Fighter,"Action, Adventure, Thriller",4.1,False,102.0
Coldblooded,"Action, Comedy",6.7,False,92.0
Desert Winds,,0.0,False,97.0
Fall Time,"Action, Adventure, Crime, Drama, Thriller",6.3,False,88.0
The Fear,"Horror, Thriller",3.4,False,98.0
Frank and Ollie,Documentary,7.5,False,89.0
Girl in the Cadillac,"Romance, Adventure, Crime, Drama",10.0,False,89.0
Homage,"Thriller, Drama",0.0,False,97.0
Mirage,"Action, Thriller",4.0,False,92.0
Open Season,Comedy,0.0,False,97.0
Dos Crímenes,,5.0,False,0.0
Brother Minister: The Assassination of Malcolm X,Documentary,4.0,False,115.0
Highlander: The Final Dimension,"Action, Fantasy, Science Fiction",4.5,False,99.0
Federal Hill,,5.0,False,97.0
In the Mouth of Madness,"Horror, Mystery, Thriller",7.1,True,95.0
8 Seconds,"Drama, Romance",7.2,True,105.0
Above the Rim,"Crime, Drama",6.7,False,96.0
Addams Family Values,"Comedy, Family, Fantasy",6.5,False,94.0
Martin Lawrence: You So Crazy,Comedy,4.5,False,84.0
The Age of Innocence,"Drama, Romance",7.0,True,139.0
Airheads,"Comedy, Crime, Music",5.8,False,92.0
The Air Up There,"Comedy, Family",5.1,False,107.0
Another Stakeout,"Action, Comedy",4.9,False,105.0
Bad Girls,"Action, Adventure, Comedy, Drama, Western",4.6,False,99.0
Barcelona,"Comedy, Drama, Romance",6.6,True,100.0
Being Human,"Drama, Comedy, Fantasy",5.0,False,122.0
The Beverly Hillbillies,Comedy,5.0,False,93.0
Beverly Hills Cop III,"Action, Comedy, Crime",5.5,False,104.0
Black Beauty,"Action, Adventure, Drama, Family",6.6,False,88.0
Blink,"Mystery, Crime, Drama, Thriller",6.3,False,106.0
Blown Away,"Drama, Action, Thriller",6.0,False,121.0
Blue Chips,Drama,5.7,False,108.0
Blue Sky,"Drama, Romance",6.1,False,101.0
Body Snatchers,"Horror, Science Fiction, Thriller",5.8,False,87.0
Boxing Helena,"Drama, Romance",4.5,False,107.0
A Bronx Tale,"Drama, Crime",7.4,False,121.0
Cabin Boy,Comedy,4.9,False,80.0
Calendar Girl,"Drama, Comedy",3.7,False,90.0
Carlito's Way,"Action, Crime, Drama, Thriller",7.7,False,144.0
City Slickers II: The Legend of Curly's Gold,"Action, Comedy, Drama, Western",4.9,False,116.0
Clean Slate,"Comedy, Thriller, Mystery",5.7,False,107.0
Cliffhanger,"Action, Adventure, Thriller",6.1,False,112.0
Coneheads,"Comedy, Science Fiction, Family",4.8,False,88.0
Color of Night,"Drama, Mystery, Romance, Thriller",5.4,False,121.0
Cops & Robbersons,"Action, Comedy, Family",5.0,False,93.0
The Cowboy Way,"Western, Action, Comedy",5.1,False,102.0
Dangerous Game,Drama,5.4,False,108.0
Dave,Comedy,6.3,False,110.0
Dazed and Confused,"Comedy, Drama",7.4,False,102.0
Demolition Man,"Crime, Action, Science Fiction",6.4,False,115.0
The Endless Summer 2,Documentary,7.1,False,109.0
Even Cowgirls Get the Blues,"Western, Drama, Comedy, Romance",4.2,False,96.0
Fatal Instinct,Comedy,5.4,False,91.0
Farewell My Concubine,Drama,7.8,False,171.0
The Favor,"Drama, Comedy, Romance",3.3,False,97.0
Fearless,Drama,6.8,False,122.0
Fear of a Black Hat,Comedy,5.8,False,88.0
With Honors,"Comedy, Drama",6.1,False,103.0
Flesh and Bone,"Drama, Mystery, Romance",6.2,False,126.0
Widows' Peak,"Comedy, Thriller, Mystery, Romance, Foreign",4.3,False,101.0
For Love or Money,"Comedy, Romance",5.7,False,94.0
The Firm,"Drama, Mystery, Thriller",6.6,False,154.0
Free Willy,"Family, Adventure",6.0,False,112.0
Fresh,"Crime, Drama, Thriller",7.6,False,114.0
The Fugitive,"Adventure, Action, Thriller, Crime, Mystery",7.2,False,130.0
Geronimo: An American Legend,"History, Action, Drama, Western",5.9,False,115.0
The Getaway,"Drama, Action, Thriller",5.4,False,115.0
Getting Even with Dad,"Family, Comedy, Crime",4.5,False,109.0
Go Fish,"Drama, Romance",3.9,False,83.0
A Good Man in Africa,"Comedy, Drama",5.2,False,94.0
Guilty as Sin,"Drama, Thriller",5.6,False,107.0
Hard Target,"Action, Adventure, Crime, Thriller",6.1,False,97.0
Heaven & Earth,"History, War, Action, Drama",6.4,False,140.0
Hot Shots! Part Deux,"Action, Comedy, War",6.2,False,86.0
Live Nude Girls,Comedy,4.7,False,95.0
The Englishman Who Went Up a Hill But Came Down a Mountain,"Drama, Comedy, Romance",6.1,False,99.0
The House of the Spirits,"Romance, Drama",6.7,False,140.0
House Party 3,Comedy,4.6,False,100.0
The Hudsucker Proxy,"Comedy, Drama",7.1,False,111.0
I'll Do Anything,"Comedy, Drama",5.7,False,115.0
In the Army Now,Comedy,4.7,False,91.0
